intervention,outcome,leading_effect,net_support,claim_count,weighted_support_by_effect,review_status,review_notes
butyrate,amyloid-beta 42 uptake,decrease,4.6,1,"{""decrease"": 4.6}",,
butyrate,amyloid-beta secretion,decrease,4.6,1,"{""decrease"": 4.6}",,
clostridium butyricum,microglial activation,decrease,4.6,1,"{""decrease"": 4.6}",,
high-fiber inulin diet,cecal butyrate,increase,-5.5,1,"{""increase"": 5.5}",,
high-fiber inulin diet,microglial profile,decrease,5.5,1,"{""decrease"": 5.5}",,
microbial production of acetate and butyrate,long-term behavioral recovery,increase,-4.7,1,"{""increase"": 4.7}",,
pharmacologic butyrate treatment,"il-1beta, tnf, il-6 expression",decrease,5.5,1,"{""decrease"": 5.5}",,
scfa supplementation,ventriculomegaly,decrease,4.6,1,"{""decrease"": 4.6}",,
sodium butyrate,colitis severity,decrease,4.6,1,"{""decrease"": 4.6}",,
sodium butyrate,depression-like behaviors,decrease,4.7,1,"{""decrease"": 4.7}",,
sodium butyrate,hypothalamic microgliosis,decrease,4.7,1,"{""decrease"": 4.7}",,
sodium butyrate,infarct volume,decrease,4.7,1,"{""decrease"": 4.7}",,
sodium butyrate,motor performance,increase,-4.6,1,"{""increase"": 4.6}",,
sodium butyrate,neuroinflammation,decrease,17.1,6,"{""decrease"": 22.9, ""increase"": 5.8}",,
