intervention_family,disease_family,outcome,leading_effect,net_support,claim_count,weighted_support_by_effect,review_status,review_notes
direct butyrate,acute_injury,infarct volume,decrease,4.7,1,"{""decrease"": 4.7}",,
direct butyrate,acute_injury,neuroinflammation,decrease,4.7,1,"{""decrease"": 4.7}",,
direct butyrate,aging,"il-1beta, tnf, il-6 expression",decrease,5.5,1,"{""decrease"": 5.5}",,
direct butyrate,alcohol_related,neuroinflammation,decrease,9.3,2,"{""decrease"": 9.3}",,
direct butyrate,alzheimer_related,amyloid-beta 42 uptake,decrease,4.6,1,"{""decrease"": 4.6}",,
direct butyrate,alzheimer_related,amyloid-beta secretion,decrease,4.6,1,"{""decrease"": 4.6}",,
direct butyrate,alzheimer_related,neuroinflammation,decrease,4.6,1,"{""decrease"": 4.6}",,
direct butyrate,behavioral_inflammation,depression-like behaviors,decrease,4.7,1,"{""decrease"": 4.7}",,
direct butyrate,gut_inflammation,colitis severity,decrease,4.6,1,"{""decrease"": 4.6}",,
direct butyrate,metabolic_inflammation,hypothalamic microgliosis,decrease,4.7,1,"{""decrease"": 4.7}",,
direct butyrate,other,neuroinflammation,decrease,4.3,1,"{""decrease"": 4.3}",,
direct butyrate,parkinsonian,motor performance,increase,-4.6,1,"{""increase"": 4.6}",,
direct butyrate,parkinsonian,neuroinflammation,increase,-5.8,1,"{""increase"": 5.8}",,
microbiome-mediated butyrate,acute_injury,long-term behavioral recovery,increase,-4.7,1,"{""increase"": 4.7}",,
microbiome-mediated butyrate,aging,cecal butyrate,increase,-5.5,1,"{""increase"": 5.5}",,
microbiome-mediated butyrate,aging,microglial profile,decrease,5.5,1,"{""decrease"": 5.5}",,
microbiome-mediated butyrate,alzheimer_related,microglial activation,decrease,4.6,1,"{""decrease"": 4.6}",,
mixed scfa intervention,acute_injury,ventriculomegaly,decrease,4.6,1,"{""decrease"": 4.6}",,
